Collective	Pathway	KO	Abbrev.	Gene_description
09105 Amino acid metabolism	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	K01696	trpB	 tryptophan synthase beta chain [EC:4.2.1.20]
09105 Amino acid metabolism	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	K06001	trpB	 tryptophan synthase beta chain [EC:4.2.1.20]
09105 Amino acid metabolism	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	K00836	ectB, dat	 diaminobutyrate-2-oxoglutarate transaminase [EC:2.6.1.76]
09105 Amino acid metabolism	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	K06718	ectA	 L-2,4-diaminobutyric acid acetyltransferase [EC:2.3.1.178]
09105 Amino acid metabolism	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	K06720	ectC	 L-ectoine synthase [EC:4.2.1.108]
09105 Amino acid metabolism	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	K10674	ectD	 ectoine hydroxylase [EC:1.14.11.55]
09105 Amino acid metabolism	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	K13745	ddc	 L-2,4-diaminobutyrate decarboxylase [EC:4.1.1.86]
09105 Amino acid metabolism	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	K15783	doeA	 ectoine hydrolase [EC:3.5.4.44]
09105 Amino acid metabolism	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	K15784	doeB	 N2-acetyl-L-2,4-diaminobutanoate deacetylase [EC:3.5.1.125]
09105 Amino acid metabolism	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	K15785	doeD	 L-2,4-diaminobutyrate transaminase [EC:2.6.1.76]
09105 Amino acid metabolism	00260 Glycine, serine and threonine metabolism [PATH:ko00260]	K15786	doeC	 aspartate-semialdehyde dehydrogenase [EC:1.2.1.-]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K00640	cysE	 serine O-acetyltransferase [EC:2.3.1.30]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K23304	cysE	 serine O-acetyltransferase [EC:2.3.1.30]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K01738	cysK	 cysteine synthase [EC:2.5.1.47]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K10150	cysO	 cysteine synthase / O-phosphoserine sulfhydrylase / cystathionine beta-synthase [EC:2.5.1.47 2.5.1.65 4.2.1.22]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K17217	mccB	 cystathionine gamma-lyase / homocysteine desulfhydrase [EC:4.4.1.1 4.4.1.2]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K01760	metC	 cysteine-S-conjugate beta-lyase [EC:4.4.1.13]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K14155	patB, malY	 cysteine-S-conjugate beta-lyase [EC:4.4.1.13]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K17216	mccA	 cystathionine beta-synthase (O-acetyl-L-serine) [EC:2.5.1.134]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K00547	mmuM, BHMT2	 homocysteine S-methyltransferase [EC:2.1.1.10]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K00548	metH, MTR	 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K24042	yitJ	 methionine synthase / methylenetetrahydrofolate reductase (NADH) [EC:2.1.1.13 1.5.1.54]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K00549	metE	 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K00789	metK	 S-adenosylmethionine synthetase [EC:2.5.1.6]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K01611	speD, AMD1	 S-adenosylmethionine decarboxylase [EC:4.1.1.50]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K00797	speE, SRM, SPE3	 spermidine synthase [EC:2.5.1.16]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K13060	lasI	 acyl homoserine lactone synthase [EC:2.3.1.184]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K13061	rhlI, phzI, solI, cepI, tofI	 acyl homoserine lactone synthase [EC:2.3.1.184]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K13062	ainS, luxM	 acyl homoserine lactone synthase [EC:2.3.1.184]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K20248	cinI	 acyl homoserine lactone synthase [EC:2.3.1.184]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K20249	raiI	 acyl homoserine lactone synthase [EC:2.3.1.184]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K20250	cciI	 acyl homoserine lactone synthase [EC:2.3.1.184]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K22954	luxI	 acyl homoserine lactone synthase [EC:2.3.1.184]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K22955	traI, avsI	 acyl homoserine lactone synthase [EC:2.3.1.184]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K22956	expI, esaI	 acyl homoserine lactone synthase [EC:2.3.1.184]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K22957	cviI	 acyl homoserine lactone synthase [EC:2.3.1.184]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K22968	sinI, avsI	 acyl homoserine lactone synthase [EC:2.3.1.184]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K01243	mtnN, mtn, pfs	 adenosylhomocysteine nucleosidase [EC:3.2.2.9]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K00899	mtnK	 5-methylthioribose kinase [EC:2.7.1.100]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K00772	mtaP, MTAP	 5'-methylthioadenosine phosphorylase [EC:2.4.2.28]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K12960	mtaD	 5-methylthioadenosine/S-adenosylhomocysteine deaminase [EC:3.5.4.31 3.5.4.28]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K19696	mtiP	 5'-methylthioinosine phosphorylase [EC:2.4.2.44]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K08963	mtnA	 methylthioribose-1-phosphate isomerase [EC:5.3.1.23]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K08964	mtnB	 methylthioribulose-1-phosphate dehydratase [EC:4.2.1.109]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K08965	mtnW	 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [EC:5.3.2.5]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K08966	mtnX	 2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase [EC:3.1.3.87]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K09880	mtnC, ENOPH1	 enolase-phosphatase E1 [EC:3.1.3.77]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K08967	mtnD, mtnZ, ADI1	 1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase [EC:1.13.11.53 1.13.11.54]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K00832	tyrB	 aromatic-amino-acid transaminase [EC:2.6.1.57]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K08969	mtnE, mtnV	 L-glutamine---4-(methylsulfanyl)-2-oxobutanoate aminotransferase [EC:2.6.1.117]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K25035	rlp	 S-methyl-5-thioribulose 1-phosphate isomerase [EC:5.3.3.23]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K08968	msrC	 L-methionine (R)-S-oxide reductase [EC:1.8.4.14]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K00558	DNMT1, dcm	 DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K01251	E3.3.1.1, ahcY	 adenosylhomocysteinase [EC:3.3.1.1]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K17462	yrrT	 putative AdoMet-dependent methyltransferase [EC:2.1.1.-]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K07173	luxS	 S-ribosylhomocysteine lyase [EC:4.4.1.21]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K00928	lysC	 aspartate kinase [EC:2.7.2.4]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K12524	thrA	 bifunctional aspartokinase / homoserine dehydrogenase 1 [EC:2.7.2.4 1.1.1.3]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K12525	metL	 bifunctional aspartokinase / homoserine dehydrogenase 2 [EC:2.7.2.4 1.1.1.3]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K12526	lysAC	 bifunctional diaminopimelate decarboxylase / aspartate kinase [EC:4.1.1.20 2.7.2.4]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K00133	asd	 aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K00003	hom	 homoserine dehydrogenase [EC:1.1.1.3]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K00651	metA	 homoserine O-succinyltransferase/O-acetyltransferase [EC:2.3.1.46 2.3.1.31]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K00641	metX	 homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K01739	metB	 cystathionine gamma-synthase [EC:2.5.1.48]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K01740	metY	 O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K10764	metZ	 O-succinylhomoserine sulfhydrylase [EC:2.5.1.-]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K00826	E2.6.1.42, ilvE	 branched-chain amino acid aminotransferase [EC:2.6.1.42]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K01919	gshA	 glutamate--cysteine ligase [EC:6.3.2.2]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K01920	gshB	 glutathione synthase [EC:6.3.2.3]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K00812	aspB	 aspartate aminotransferase [EC:2.6.1.1]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K00813	aspC	 aspartate aminotransferase [EC:2.6.1.1]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K11358	yhdR	 aspartate aminotransferase [EC:2.6.1.1]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K01011	TST, MPST, sseA	 thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K00016	LDH, ldh	 L-lactate dehydrogenase [EC:1.1.1.27]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K09758	asdA	 aspartate 4-decarboxylase [EC:4.1.1.12]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K05396	dcyD	 D-cysteine desulfhydrase [EC:4.4.1.15]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K16843	slcC	 (S)-sulfolactate dehydrogenase [EC:1.1.1.310]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K00024	mdh	 malate dehydrogenase [EC:1.1.1.37]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K16844	comC	 (2R)-3-sulfolactate dehydrogenase (NADP+) [EC:1.1.1.338]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K16845	suyA	 (2R)-sulfolactate sulfo-lyase subunit alpha [EC:4.4.1.24]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K16846	suyB	 (2R)-sulfolactate sulfo-lyase subunit beta [EC:4.4.1.24]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K17950	cuyA	 L-cysteate sulfo-lyase [EC:4.4.1.25]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K01752	E4.3.1.17, sdaA, sdaB, tdcG	 L-serine dehydratase [EC:4.3.1.17]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K12339	cysM	 S-sulfo-L-cysteine synthase (O-acetyl-L-serine-dependent) [EC:2.5.1.144]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K00058	serA, PHGDH	 D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K00831	serC, PSAT1	 phosphoserine aminotransferase [EC:2.6.1.52]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K23370	serK	 L-serine kinase (ADP) [EC:2.7.1.226]
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:ko00270]	K22847	cysK2	 S-sulfo-L-cysteine synthase (3-phospho-L-serine-dependent) [EC:2.8.5.1]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K00826	E2.6.1.42, ilvE	 branched-chain amino acid aminotransferase [EC:2.6.1.42]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K00271	vdh	 valine dehydrogenase (NAD+) [EC:1.4.1.23]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K00166	BCKDHA, bkdA1	 2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K00167	BCKDHB, bkdA2	 2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K11381	bkdA	 2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K09699	DBT, bkdB	 2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase) [EC:2.3.1.168]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K00382	DLD, lpd, pdhD	 dihydrolipoamide dehydrogenase [EC:1.8.1.4]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K00186	vorA	 2-oxoisovalerate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.7]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K00187	vorB	 2-oxoisovalerate ferredoxin oxidoreductase beta subunit [EC:1.2.7.7]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K00189	vorG, porG	 2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.7 1.2.7.1]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K00188	vorD	 2-oxoisovalerate ferredoxin oxidoreductase delta subunit [EC:1.2.7.7]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K00248	ACADS, bcd	 butyryl-CoA dehydrogenase [EC:1.3.8.1]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K00249	ACADM, acd	 acyl-CoA dehydrogenase [EC:1.3.8.7]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K00253	IVD, ivd	 isovaleryl-CoA dehydrogenase [EC:1.3.8.4]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K11410	acdH	 short-chain 2-methylacyl-CoA dehydrogenase [EC:1.3.8.5]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K01692	paaF, echA	 enoyl-CoA hydratase [EC:4.2.1.17]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K01825	fadB	 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K01782	fadJ	 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K00632	fadA, fadI	 acetyl-CoA acyltransferase [EC:2.3.1.16]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K01965	PCCA, pccA	 propionyl-CoA carboxylase alpha chain [EC:6.4.1.3]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K01966	PCCB, pccB	 propionyl-CoA carboxylase beta chain [EC:6.4.1.3 2.1.3.15]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K11263	bccA, pccA	 acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K18472	accD6	 acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit [EC:6.4.1.2 6.4.1.3 2.1.3.15]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K19312	pccB	 acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit [EC:6.4.1.2 6.4.1.3 2.1.3.15]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K22568	pccX	 acetyl-CoA/propionyl-CoA carboxylase, PccX subunit [EC:6.4.1.2 6.4.1.3]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K05606	MCEE, epi	 methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K01849	E5.4.99.2B, mcmA2	 methylmalonyl-CoA mutase, C-terminal domain [EC:5.4.99.2]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K01848	E5.4.99.2A, mcmA1	 methylmalonyl-CoA mutase, N-terminal domain [EC:5.4.99.2]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K00020	HIBADH, mmsB	 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K00140	mmsA, iolA, ALDH6A1	 malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K18661	matB	 malonyl-CoA/methylmalonyl-CoA synthetase [EC:6.2.1.-]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K18662	matB	 malonyl-CoA/methylmalonyl-CoA synthetase [EC:6.2.1.-]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K07250	gabT	 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase [EC:2.6.1.19 2.6.1.22 2.6.1.48]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K13766	liuC	 methylglutaconyl-CoA hydratase [EC:4.2.1.18]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K01640	HMGCL, hmgL	 hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K01028	scoA	 3-oxoacid CoA-transferase subunit A [EC:2.8.3.5]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K01029	scoB	 3-oxoacid CoA-transferase subunit B [EC:2.8.3.5]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K01907	AACS, acsA	 acetoacetyl-CoA synthetase [EC:6.2.1.16]
09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:ko00280]	K00626	ACAT, atoB	 acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
09105 Amino acid metabolism	00290 Valine, leucine and isoleucine biosynthesis [PATH:ko00290]	K01754	E4.3.1.19, ilvA, tdcB	 threonine dehydratase [EC:4.3.1.19]
09105 Amino acid metabolism	00290 Valine, leucine and isoleucine biosynthesis [PATH:ko00290]	K09011	cimA	 (R)-citramalate synthase [EC:2.3.1.182]
09105 Amino acid metabolism	00290 Valine, leucine and isoleucine biosynthesis [PATH:ko00290]	K01703	leuC, IPMI-L	 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]
09105 Amino acid metabolism	00290 Valine, leucine and isoleucine biosynthesis [PATH:ko00290]	K01704	leuD, IPMI-S	 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]
09105 Amino acid metabolism	00290 Valine, leucine and isoleucine biosynthesis [PATH:ko00290]	K00052	leuB, IMDH	 3-isopropylmalate dehydrogenase [EC:1.1.1.85]
09105 Amino acid metabolism	00290 Valine, leucine and isoleucine biosynthesis [PATH:ko00290]	K01652	E2.2.1.6L, ilvB, ilvG, ilvI	 acetolactate synthase I/II/III large subunit [EC:2.2.1.6]
09105 Amino acid metabolism	00290 Valine, leucine and isoleucine biosynthesis [PATH:ko00290]	K01653	E2.2.1.6S, ilvH, ilvN	 acetolactate synthase I/III small subunit [EC:2.2.1.6]
09105 Amino acid metabolism	00290 Valine, leucine and isoleucine biosynthesis [PATH:ko00290]	K11258	ilvM	 acetolactate synthase II small subunit [EC:2.2.1.6]
09105 Amino acid metabolism	00290 Valine, leucine and isoleucine biosynthesis [PATH:ko00290]	K00053	ilvC	 ketol-acid reductoisomerase [EC:1.1.1.86]
09105 Amino acid metabolism	00290 Valine, leucine and isoleucine biosynthesis [PATH:ko00290]	K01687	ilvD	 dihydroxy-acid dehydratase [EC:4.2.1.9]
09105 Amino acid metabolism	00290 Valine, leucine and isoleucine biosynthesis [PATH:ko00290]	K00826	E2.6.1.42, ilvE	 branched-chain amino acid aminotransferase [EC:2.6.1.42]
09105 Amino acid metabolism	00290 Valine, leucine and isoleucine biosynthesis [PATH:ko00290]	K00835	avtA	 valine--pyruvate aminotransferase [EC:2.6.1.66]
09105 Amino acid metabolism	00290 Valine, leucine and isoleucine biosynthesis [PATH:ko00290]	K14260	alaA	 alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2]
09105 Amino acid metabolism	00290 Valine, leucine and isoleucine biosynthesis [PATH:ko00290]	K01649	leuA, IMS	 2-isopropylmalate synthase [EC:2.3.3.13]
09105 Amino acid metabolism	00300 Lysine biosynthesis [PATH:ko00300]	K00003	hom	 homoserine dehydrogenase [EC:1.1.1.3]
09105 Amino acid metabolism	00300 Lysine biosynthesis [PATH:ko00300]	K00928	lysC	 aspartate kinase [EC:2.7.2.4]
09105 Amino acid metabolism	00300 Lysine biosynthesis [PATH:ko00300]	K12524	thrA	 bifunctional aspartokinase / homoserine dehydrogenase 1 [EC:2.7.2.4 1.1.1.3]
09105 Amino acid metabolism	00300 Lysine biosynthesis [PATH:ko00300]	K12525	metL	 bifunctional aspartokinase / homoserine dehydrogenase 2 [EC:2.7.2.4 1.1.1.3]
09105 Amino acid metabolism	00300 Lysine biosynthesis [PATH:ko00300]	K12526	lysAC	 bifunctional diaminopimelate decarboxylase / aspartate kinase [EC:4.1.1.20 2.7.2.4]
09105 Amino acid metabolism	00300 Lysine biosynthesis [PATH:ko00300]	K00133	asd	 aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
09105 Amino acid metabolism	00300 Lysine biosynthesis [PATH:ko00300]	K01714	dapA	 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]
09105 Amino acid metabolism	00300 Lysine biosynthesis [PATH:ko00300]	K00215	dapB	 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]
09105 Amino acid metabolism	00300 Lysine biosynthesis [PATH:ko00300]	K00674	dapD	 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]
09105 Amino acid metabolism	00300 Lysine biosynthesis [PATH:ko00300]	K00821	argD	 acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]
09105 Amino acid metabolism	00300 Lysine biosynthesis [PATH:ko00300]	K14267	dapC	 N-succinyldiaminopimelate aminotransferase [EC:2.6.1.17]
09105 Amino acid metabolism	00300 Lysine biosynthesis [PATH:ko00300]	K01439	dapE	 succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]
09105 Amino acid metabolism	00300 Lysine biosynthesis [PATH:ko00300]	K01778	dapF	 diaminopimelate epimerase [EC:5.1.1.7]
09105 Amino acid metabolism	00300 Lysine biosynthesis [PATH:ko00300]	K01586	lysA	 diaminopimelate decarboxylase [EC:4.1.1.20]
09105 Amino acid metabolism	00300 Lysine biosynthesis [PATH:ko00300]	K05822	dapH, dapD	 tetrahydrodipicolinate N-acetyltransferase [EC:2.3.1.89]
09105 Amino acid metabolism	00300 Lysine biosynthesis [PATH:ko00300]	K00841	patA	 aminotransferase [EC:2.6.1.-]
09105 Amino acid metabolism	00300 Lysine biosynthesis [PATH:ko00300]	K05823	dapL	 N-acetyldiaminopimelate deacetylase [EC:3.5.1.47]
09105 Amino acid metabolism	00300 Lysine biosynthesis [PATH:ko00300]	K03340	dapdh	 diaminopimelate dehydrogenase [EC:1.4.1.16]
